127.0.0.1 - - [29/Sep/2020:08:49:36 +0900] "GET / HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:00:17 +0900] "GET /resource/fonts/fa-regular-400.woff2 HTTP/1.1" 200 13596
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:00:17 +0900] "GET /resource/fonts/fa-solid-900.woff2 HTTP/1.1" 200 80328
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:00:17 +0900] "GET /resource/fonts/LGSmHaSB.woff2 HTTP/1.1" 200 1291904
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:00:17 +0900] "GET /resource/fonts/LGSmHaR.woff2 HTTP/1.1" 200 1284688
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:00:17 +0900] "GET /common/login/joinForm.do HTTP/1.1" 200 28645
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:00:18 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:00:19 +0900] "POST /common/login/login.do HTTP/1.1" 200 6562
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:35 +0900] "POST /common/login/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:36 +0900] "GET /main.do HTTP/1.1" 200 13455
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/common/layout/logo-tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/front/contents/icon-main-visual-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/front/contents/img-main-visual-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/front/contents/img-main-thumbnail-02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/front/contents/img-main-thumbnail-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/common/layout/logo-footer-tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/front/contents/img-main-thumbnail-03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/front/contents/bg-main-visual-btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/front/layout/bg_watermark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/front/icon/icon_date.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/front/layout/img-instagram-link.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/images/front/icon/icon-menu-btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /main.do HTTP/1.1" 200 13455
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/fonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:37 +0900] "GET /resource/fonts/fa-brands-400.woff2 HTTP/1.1" 200 77444
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:38 +0900] "GET /admin.do HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:38 +0900] "GET /resource/js/admin/ui.js HTTP/1.1" 200 31660
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:38 +0900] "GET /resource/css/admin/import.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:38 +0900] "GET /resource/images/main_title.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:38 +0900] "GET /resource/css/admin/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:38 +0900] "GET /resource/css/admin/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:39 +0900] "GET /admin.do HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:39 +0900] "GET /resource/images/main_title.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:52 +0900] "GET / HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:05:52 +0900] "GET /admin/contents/journal/retrieveContentsList.do?menuId=AD030301 HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:03 +0900] "GET /common/login/loginForm.do HTTP/1.1" 200 6375
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:04 +0900] "GET /common/login/loginForm.do HTTP/1.1" 200 6375
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:07 +0900] "POST /common/login/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:08 +0900] "GET /main.do HTTP/1.1" 200 13455
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:08 +0900] "GET /main.do HTTP/1.1" 200 13455
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:11 +0900] "GET /admin.do HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:11 +0900] "GET /resource/js/admin/ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:11 +0900] "GET /resource/images/main_title.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:11 +0900] "GET /admin.do HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:11 +0900] "GET /resource/images/main_title.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /contents/logoList.do?menuId=AD030101 HTTP/1.1" 200 22349
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /usr/local/lena/servers/appServer/webapps/ROOT/data001/gyva-data/%EC%A0%81%EC%9A%A9%ED%85%8C%EC%8A%A4%ED%8A%B820200928.PNG HTTP/1.1" 404 1193
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /resource/js/libs/swiper-5.4.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /usr/local/lena/servers/appServer/s3:/an2-lsc-dev-yva-data/upload/%EC%A0%81%EC%9A%A9%ED%85%8C%EC%8A%A4%ED%8A%B820200928[2].PNG HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /usr/local/lena/servers/appServer/webapps/ROOT/data001/gyva-data/%EC%A0%81%EC%9A%A9%ED%85%8C%EC%8A%A4%ED%8A%B820200925.PNG HTTP/1.1" 404 1193
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /resource/images/temp/@img-temp-detail.png HTTP/1.1" 200 54905
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /resource/images/common/icon/icon-article-tit.png HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /resource/images/common/contents/defaultimg_378x260.png HTTP/1.1" 200 10773
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /contents/logoList.do?menuId=AD030101 HTTP/1.1" 200 22349
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /usr/local/lena/servers/appServer/webapps/ROOT/data001/gyva-data/%EC%A0%81%EC%9A%A9%ED%85%8C%EC%8A%A4%ED%8A%B820200928.PNG HTTP/1.1" 404 1193
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /usr/local/lena/servers/appServer/s3:/an2-lsc-dev-yva-data/upload/%EC%A0%81%EC%9A%A9%ED%85%8C%EC%8A%A4%ED%8A%B820200928[2].PNG HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:14 +0900] "GET /usr/local/lena/servers/appServer/webapps/ROOT/data001/gyva-data/%EC%A0%81%EC%9A%A9%ED%85%8C%EC%8A%A4%ED%8A%B820200925.PNG HTTP/1.1" 404 1193
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:27 +0900] "GET /contents/journalList.do?menuId=AD030301 HTTP/1.1" 200 9876
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:27 +0900] "GET /resource/js/admin/ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:27 +0900] "GET /contents/journalList.do?menuId=AD030301 HTTP/1.1" 200 9876
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:48 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:48 +0900] "GET /resource/js/admin/ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:48 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:50 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:55 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:06:57 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:18 +0900] "GET /contents/journalList.do?menuId=AD030301 HTTP/1.1" 200 9876
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:18 +0900] "GET /resource/js/admin/ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:18 +0900] "GET /contents/journalList.do?menuId=AD030301 HTTP/1.1" 200 9876
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:20 +0900] "POST /contents/journalWrite.do HTTP/1.1" 200 8896
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:20 +0900] "POST /contents/journalWrite.do HTTP/1.1" 200 8896
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:28 +0900] "GET /contents/journalList.do?menuId=AD030301 HTTP/1.1" 200 9876
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:29 +0900] "GET /contents/journalList.do?menuId=AD030301 HTTP/1.1" 200 9876
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:29 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:30 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:39 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:39 +0900] "GET /resource/js/admin/ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:07:39 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:10 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:10 +0900] "GET /resource/js/admin/ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:10 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:15 +0900] "POST /contents/journalEdit.do HTTP/1.1" 200 10655
